"_type","author","keywords","text"
"dict","John Green","satisfaction,self-determination","“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”"
"dict","J.K. Rowling","","“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
"dict","William Shakespeare","love","“Love looks not with the eyes, but with the mind,"
"dict","Alexandre Dumas-fils","misattributed-to-einstein","“The difference between genius and stupidity is: genius has its limits.”"
"dict","Virginia Woolf","women","“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”"
"dict","Nicholas Sparks","love,simile","“Love is like the wind, you can't see it but you can feel it.”"
"dict","Markus Zusak","beauty,life","“Sometimes people are beautiful."
"dict","Theodore Roosevelt","inspirational","“Do what you can, with what you have, where you are.”"
"dict","Oscar Wilde","books,reading","“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”"
"dict","Marilyn Monroe","attributed-no-source,girls,love","“If you can make a woman laugh, you can make her do anything.”"
"dict","Haruki Murakami","books,thought","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
"dict","C.S. Lewis","books,inspirational,reading,tea","“You can never get a cup of tea large enough or a book long enough to suit me.”"
"dict","J.K. Rowling","dumbledore","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
"dict","Shel Silverstein","anything-can-be,hope,impossible,inspirational,musn-t,possibilities,shouldn-t,won-t","“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”"
"dict","Stephenie Meyer","drug,romance,simile","“He's like a drug for you, Bella.”"
"dict","Robert Fulghum","love,weirdness","“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”"
"dict","Elizabeth Gilbert","love","“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life."
"dict","Helen Keller","inspirational","“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
"dict","J.K. Rowling","death,inspirational","“To the well-organized mind, death is but the next great adventure.”"
"dict","Groucho Marx","books,humor,reading,television","“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”"
"dict","Marilyn Monroe","attributed-no-source","“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
"dict","Jodi Picoult","imperfect,love","“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”"
"dict","Marilyn Monroe","attributed-no-source,love","“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”"
"dict","George Bernard Shaw","inspirational,life,yourself","“Life isn't about finding yourself. Life is about creating yourself.”"
"dict","Bessie Anderson Stanley","life,misattributed-to-emerson,success,widely-misattributed","“He has achieved success who has lived well, laughed often, and loved much;"
"dict","Marilyn Monroe","attributed-no-source","“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”"
"dict","Albert Einstein","life,simile","“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
"dict","Bob Marley","judge,life,live,perfection","“Who are you to judge the life I live?"
"dict","Anaïs Nin","death,love","“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”"
"dict","A.A. Milne","friendship,piglet,pooh,reassurance","“Piglet sidled up to Pooh from behind."
"dict","Marthe Troly-Curtin","happiness,misattributed-john-lennon,procrastination,time","“Time you enjoy wasting is not wasted time.”"
"dict","John Green","infinity,john-green,life,tfios,the-fault-in-our-stars","“Some infinities are bigger than other infinities.”"
"dict","Douglas Adams","humor,scifi","“The story so far:"
"dict","Eleanor Roosevelt","attributed,fear,inspiration","“Do one thing every day that scares you.”"
"dict","Ernest Hemingway","books,friends,novelist-quotes","“There is no friend as loyal as a book.”"
"dict","Jane Austen","friendship,love","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
"dict","Terry Pratchett","humor,open-mind,thinking","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
"dict","Alfred Lord Tennyson","friendship,love","“If I had a flower for every time I thought of you...I could walk through my garden forever.”"
"dict","J.K. Rowling","dumbledore","“It matters not what someone is born, but what they grow to be.”"
"dict","Oscar Wilde","books,reading","“It is what you read when you don't have to that determines what you will be when you can't help it.”"
"dict","Unknown","inspirational,misattributed-audrey-hepburn","“I believe in manicures. I believe in overdressing. I believe in primping at leisure and wearing lipstick. I believe in pink. I believe that loving is the best calorie-burner. I believe in kissing. I believe that happy girls are the prettiest girls... and I believe in miracles.”"
"dict","Bill Watterson","calvin-and-hobbes,humor,life","“Reality continues to ruin my life.”"
"dict","Winston S. Churchill","bravery,courage,failure,inspirational,success","“Success is not final, failure is not fatal: it is the courage to continue that counts.”"
"dict","Charles Bukowski","humor","“Some people never go crazy. What truly horrible lives they must lead.”"
"dict","Charles M. Schulz","humor,mankind,people","“"
"dict","Cassandra Clare","mortal-instruments,romance,teen-fantasy","“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”"
"dict","Suzanne Collins","humor","“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
"dict","Stephen Chbosky","charlie,favourite-books,inspirational,sad,soul-searching,wallflower","“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”"
"dict","Suzanne Collins","the-hunger-games","“You don’t forget the face of the person who was your last hope.”"
"dict","Benjamin Franklin Wade","humor,misattributed-mark-twain,philosophy,theology","“Go to heaven for the climate and hell for the company.”"
"dict","W.C. Fields","humor,sinister","“I am free of all prejudice. I hate everyone equally. ”"
"dict","George Carlin","humor,insanity,lies,lying,self-indulgence,truth","“The reason I talk to myself is because I’m the only one whose answers I accept.”"
"dict","Stephen Chbosky","change,life","“Things change. And friends leave. Life doesn't stop for anybody.”"
"dict","John Green","compassion,life,suffering","“The only way out of the labyrinth of suffering is to forgive.”"
"dict","Linda Grayson","chocolate,friendship","“There is nothing better than a friend, unless it is a friend with chocolate.”"
"dict","J.D. Salinger","authors,books,literature,reading,writing","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
"dict","Jess C. Scott","desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words","“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”"
"dict","John Lennon","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
"dict","John Green","","“What a slut time is. She screws everybody.”"
"dict","C.S. Lewis","love","“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”"
"dict","Neil Gaiman","dying,facts,fame,knowing,love,poverty,reality,school,teach,wealth","“I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.”"
"dict","Ralph Waldo Emerson","life,regrets","“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”"
"dict","Ayn Rand","","“The question isn't who is going to let me; it's who is going to stop me.”"
"dict","Mark Twain","attributed-no-source,education","“I have never let my schooling interfere with my education.”"
"dict","Ernest Hemingway","good,writing","“There is nothing to writing. All you do is sit down at a typewriter and bleed.”"
"dict","Nicholas Sparks","love,marriage","“So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.”"
"dict","John Green","humans,pain,scars","“The marks humans leave are too often scars.”"
"dict","John Green","books,reading","“Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.”"
"dict","E.E. Cummings","attributed-no-source,courage","“It takes courage to grow up and become who you really are.”"
"dict","Albert Einstein","attributed-no-source,mistakes","“Anyone who has never made a mistake has never tried anything new.”"
"dict","Jimi Hendrix","death,life","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”"
"dict","John Green","infinity","“There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.”"
"dict","J.M. Barrie","adventure,love","“To die will be an awfully big adventure.”"
"dict","Charles J. Sykes","humor,misattributed-to-bill-gates,nerd,nerds,work","“Be nice to nerds. You may end up working for them. We all could.”"
"dict","Mark Twain","books,classic,reading","“Classic' - a book which people praise and don't read.”"
"dict","Marianne Williamson","akeelah,fear,inspirational","“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”"
"dict","Rosemarie Urquico","","“You should date a girl who reads."
"dict","J.R.R. Tolkien","bilbo,journey,lost,quest,travel,wander","“Not all those who wander are lost.”"
"dict","J.K. Rowling","live-death-love","“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”"
"dict","Khaled Hosseini","life","“But better to get hurt by the truth than comforted with a lie.”"
"dict","Jane Austen","humor,love,romantic,women","“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
"dict","Nicholas Sparks","life,love","“Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”"
"dict","Madeleine L'Engle","books,children,difficult,grown-ups,write,writers,writing","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”"
"dict","Stephen Chbosky","infinity","“And in that moment, I swear we were infinite.”"
"dict","Veronica Roth","inspirational-quotes,strength-and-courage","“We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”"
"dict","Anonymous","follow-your-bliss,misattributed-confucious,work","“Choose a job you love, and you will never have to work a day in your life.”"
"dict","Toni Morrison","books,writing","“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”"
"dict","J.K. Rowling","integrity","“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”"
"dict","Anonymous","misattributed-to-mother-teresa","“I know God won't give me anything I can't handle. I just wish he didn't trust me so much.”"
"dict","Alfred Lord Tennyson","love,paraphrase-of-congreve","“Tis better to have loved and lost"
"dict","Paulo Coelho","inspirational","“And, when you want something, all the universe conspires in helping you to achieve it.”"
